data_id,r,method,dataset
0,0.7165974653372752,PCA,logmap
1,0.7385910596016896,PCA,logmap
2,0.7269651127840326,PCA,logmap
3,0.7166780549425852,PCA,logmap
4,0.5891171403743075,PCA,logmap
5,0.7026179769227384,PCA,logmap
6,0.6297076109334814,PCA,logmap
7,0.753065754706622,PCA,logmap
8,0.6457372741934562,PCA,logmap
9,0.7670345690226213,PCA,logmap
10,0.6590566069054704,PCA,logmap
11,0.6109000970788376,PCA,logmap
12,0.693245598820432,PCA,logmap
13,0.6487778807401362,PCA,logmap
14,0.7228741935428203,PCA,logmap
15,0.4878285559260499,PCA,logmap
16,0.9119726899497762,PCA,logmap
17,0.7598814954609547,PCA,logmap
18,0.6891542843496598,PCA,logmap
19,0.7692058040012295,PCA,logmap
20,0.7127848139131494,PCA,logmap
21,0.7859129385151967,PCA,logmap
22,0.8880915764159009,PCA,logmap
23,0.7258743026870085,PCA,logmap
24,0.5822912678844261,PCA,logmap
25,0.6285717199404633,PCA,logmap
26,0.7456704393308514,PCA,logmap
27,0.7285190669053669,PCA,logmap
28,0.6620511814054989,PCA,logmap
29,0.5237357455082869,PCA,logmap
30,0.6867557190752883,PCA,logmap
31,0.7553766857677475,PCA,logmap
32,0.6287391463819,PCA,logmap
33,0.8951740685959083,PCA,logmap
34,0.7902027211392989,PCA,logmap
35,0.7388368848431776,PCA,logmap
36,0.6843634867179896,PCA,logmap
37,0.5425183621269081,PCA,logmap
38,0.7282129996362181,PCA,logmap
39,0.7027754840924975,PCA,logmap
40,0.7348042633957951,PCA,logmap
41,0.5657812473254431,PCA,logmap
42,0.7153014570840673,PCA,logmap
43,0.7830425585953518,PCA,logmap
44,0.596530933544287,PCA,logmap
45,0.4237163998073895,PCA,logmap
46,0.6514386806421795,PCA,logmap
47,0.7593728015250072,PCA,logmap
48,0.7646143539393938,PCA,logmap
49,0.7436192642237933,PCA,logmap
0,0.6925884525245588,ICA,logmap
1,0.7137593155728343,ICA,logmap
2,0.7137132384401622,ICA,logmap
3,0.7045143688341706,ICA,logmap
4,0.579667318760457,ICA,logmap
5,0.7057345705211382,ICA,logmap
6,0.6038521829124868,ICA,logmap
7,0.7574049973602148,ICA,logmap
8,0.6045434913092749,ICA,logmap
9,0.7841098808342031,ICA,logmap
10,0.6606808791572228,ICA,logmap
11,0.6564703030177227,ICA,logmap
12,0.7007604641931912,ICA,logmap
13,0.6524863499825287,ICA,logmap
14,0.7054562111730152,ICA,logmap
15,0.6032966806602631,ICA,logmap
16,0.90046765337516,ICA,logmap
17,0.7107265679171862,ICA,logmap
18,0.6901544766482065,ICA,logmap
19,0.755304142921003,ICA,logmap
20,0.6937611489101215,ICA,logmap
