data_id,r,method,dataset
0,0.6708786999652558,PCA,lorenz
1,0.7124748045845093,PCA,lorenz
2,0.7038951976660961,PCA,lorenz
3,0.7839771405228891,PCA,lorenz
4,0.6343765496577138,PCA,lorenz
5,0.783957148361716,PCA,lorenz
6,0.7016563588558429,PCA,lorenz
7,0.8800286558551633,PCA,lorenz
8,0.7091824780824532,PCA,lorenz
9,0.6350519455243315,PCA,lorenz
10,0.5128265016025166,PCA,lorenz
11,0.7021937483246993,PCA,lorenz
12,0.8657825609328682,PCA,lorenz
13,0.6791773868320784,PCA,lorenz
14,0.6172675151728979,PCA,lorenz
15,0.7077580761112687,PCA,lorenz
16,0.6497155091115276,PCA,lorenz
17,0.8481231123609456,PCA,lorenz
18,0.7891236444399841,PCA,lorenz
19,0.6242329279440448,PCA,lorenz
20,0.7688784429698592,PCA,lorenz
21,0.6506036617390407,PCA,lorenz
22,0.7728644364764221,PCA,lorenz
23,0.6272655616002256,PCA,lorenz
24,0.7507777673333704,PCA,lorenz
25,0.7586013311674055,PCA,lorenz
26,0.6403308708175508,PCA,lorenz
27,0.8631058482340979,PCA,lorenz
28,0.7505365848266787,PCA,lorenz
29,0.6049343218600026,PCA,lorenz
30,0.5586482027239833,PCA,lorenz
31,0.3661379073946713,PCA,lorenz
32,0.7414126019962533,PCA,lorenz
33,0.5713439594624601,PCA,lorenz
34,0.5948336324903363,PCA,lorenz
35,0.7068108840262861,PCA,lorenz
36,0.7502733473032641,PCA,lorenz
37,0.6574624639727671,PCA,lorenz
38,0.5882492374296358,PCA,lorenz
39,0.7393039843815752,PCA,lorenz
40,0.6173267120286876,PCA,lorenz
41,0.8419695860445343,PCA,lorenz
42,0.7881311250532301,PCA,lorenz
43,0.6558054953503948,PCA,lorenz
44,0.6052231532339096,PCA,lorenz
45,0.6717896986874555,PCA,lorenz
46,0.8033633508314577,PCA,lorenz
47,0.7309179990790025,PCA,lorenz
48,0.7554610119293781,PCA,lorenz
49,0.6058785962561396,PCA,lorenz
